date,open,high,low,close,volume_btc,volume_usd,market_cap_all,fng_value,btc_dominance,neutral,positive,negative
2018-09-19,6339.92,6518.24,6107.74,6383.42,3692,23432546,201281833166,24,57,578,568,748
2018-09-20,6383.42,6535.89,6338.65,6495.87,2325,14938946,203199848987,24,55,533,579,620
2018-09-21,6495.87,6778.0,6492.41,6759.51,3401,22646336,224145780317,31,53,521,701,611
2018-09-22,6759.51,6818.23,6630.0,6710.26,884,5939670,224272023884,35,52,472,584,508
2018-09-23,6710.26,6764.72,6666.67,6702.64,347,2331141,224934470158,38,51,445,580,471
2018-09-24,6702.64,6717.4,6559.59,6577.78,1730,11458102,219886317098,43,53,572,606,618
2018-09-25,6577.78,6577.78,6329.17,6433.42,2183,13992766,208401501639,37,54,547,651,642
2018-09-26,6433.42,6536.33,6381.46,6455.44,2248,14561887,216892761759,37,53,622,598,673
2018-09-27,6455.44,6732.99,6425.84,6682.87,2694,17583905,223607961141,42,54,567,547,602
2018-09-28,6682.87,6793.49,6532.29,6621.37,3004,20012691,220603117386,42,52,551,601,542
2018-09-29,6621.37,6621.37,6457.1,6580.22,468,3066670,221977149414,37,51,379,508,434
2018-09-30,6580.22,6644.01,6525.0,6597.94,882,5805561,220739526669,34,50,453,506,437
2018-10-01,6597.94,6639.05,6482.05,6573.94,2334,15347203,221455617955,35,51,551,648,626
2018-10-02,6573.94,6594.98,6450.0,6498.88,1466,9571476,219753461347,33,51,520,732,643
2018-10-03,6498.88,6509.99,6396.39,6465.97,2333,15039703,215456852170,36,52,580,719,597
2018-10-04,6465.97,6600.0,6455.91,6549.03,1855,12140773,218499470737,29,52,559,643,673
2018-10-05,6549.03,6638.0,6515.0,6581.37,1408,9228572,217921900232,37,52,524,668,595
2018-10-06,6581.37,6585.07,6530.34,6545.49,304,1996060,217179141746,34,52,430,617,470
2018-10-07,6545.49,6589.98,6499.01,6573.17,405,2651882,216991219193,29,53,446,470,501
2018-10-08,6573.17,6655.0,6538.14,6600.0,2290,15072266,221868624467,26,53,539,679,595
2018-10-09,6600.0,6616.33,6546.0,6593.48,1882,12384852,219210129931,31,52,566,643,668
2018-10-10,6593.48,6593.48,6450.0,6529.75,2347,15290847,217277584397,28,52,593,645,650
2018-10-11,6529.75,6529.75,6026.09,6153.83,5275,32640762,200571588245,19,54,638,700,724
2018-10-12,6153.83,6250.53,6112.01,6202.22,3599,22317379,202096046797,13,54,521,743,688
2018-10-13,6202.22,6245.97,6180.27,6195.0,1184,7347064,201159724423,15,54,455,617,461
2018-10-14,6195.0,6295.08,6149.88,6181.54,1474,9171189,201693733969,18,54,473,583,489
2018-10-15,6181.54,6769.0,6152.0,6437.66,9758,62768419,209964925438,20,54,574,645,766
2018-10-16,6437.66,6437.66,6428.43,6428.43,0,0,211564491389,24,54,604,747,719
2018-10-17,6456.48,6459.94,6406.98,6439.0,2016,12973503,210339270839,23,54,590,626,641
2018-10-18,6439.0,6487.77,6350.92,6391.01,4634,29754186,207773110629,26,53,602,651,690
2018-10-19,6391.01,6410.02,6342.01,6386.29,3112,19844576,208466590115,24,54,513,607,610
2018-10-20,6386.29,6421.68,6380.5,6413.23,990,6339399,209305077886,21,54,393,519,474
2018-10-21,6413.23,6463.98,6404.99,6412.64,376,2422470,210608723950,21,53,441,572,491
2018-10-22,6412.64,6426.24,6371.09,6407.43,2726,17445680,209604107854,27,54,593,693,681
2018-10-23,6407.43,6418.0,6350.1,6395.25,3789,24199297,210159600530,24,54,583,668,665
2018-10-24,6395.25,6465.68,6390.07,6412.0,3456,22209236,210159968623,23,54,520,690,662
2018-10-25,6412.0,6423.5,6358.82,6389.7,2762,17653569,209304148610,25,54,510,612,702
2018-10-26,6389.7,6450.0,6375.0,6401.09,3051,19516832,209161239422,29,54,533,561,627
2018-10-27,6401.09,6425.0,6388.06,6410.01,403,2585971,208408238713,33,53,437,568,476
2018-10-28,6410.01,6418.97,6387.64,6404.8,524,3358643,209149972518,35,54,430,530,481
2018-10-29,6404.8,6414.12,6200.0,6263.67,3579,22638531,202102682456,34,53,557,648,625
2018-10-30,6263.67,6287.56,6238.94,6270.43,3173,19863024,203097382356,31,54,571,637,634
2018-10-31,6270.43,6346.94,6200.0,6305.58,3135,19664002,203445883155,32,54,537,612,598
2018-11-01,6305.58,6359.29,6281.91,6344.3,2794,17624049,205628419361,29,54,542,501,600
2018-11-02,6344.3,6380.0,6330.0,6350.98,1759,11173910,207561066205,36,54,483,582,616
2018-11-03,6350.98,6350.98,6318.11,6332.46,349,2210908,206898086737,36,53,402,463,455
2018-11-04,6332.46,6453.22,6320.01,6425.09,878,5612493,209821145462,41,53,441,539,493
2018-11-05,6425.09,6440.41,6368.49,6403.38,3770,24138899,212092993447,42,53,610,588,715
2018-11-06,6403.38,6449.0,6384.75,6448.41,3803,24360874,217736452357,42,53,562,545,681
2018-11-07,6448.41,6540.0,6445.5,6501.5,3733,24275948,219114984630,48,51,564,557,617
2018-11-08,6501.5,6512.0,6393.84,6405.88,3154,20332988,215576143920,51,52,575,523,630
2018-11-09,6405.88,6429.68,6312.0,6335.0,1448,9225871,212228547482,47,52,498,507,649
2018-11-10,6335.0,6369.99,6332.6,6350.23,323,2053866,214030622787,52,53,446,481,412
2018-11-11,6350.23,6364.97,6275.0,6360.98,544,3444779,211931939191,54,52,422,463,496
