date,open,high,low,close,volume_btc,volume_usd
2017-10-23,5974.97,6060.28,5625.31,5899.6,9049,52981345
2017-10-22,6012.58,6069.67,5750.0,5974.97,5172,30502617
2017-10-21,5984.03,6178.79,5900.01,6012.58,6020,36519787
2017-10-20,5695.01,6050.0,5615.0,5984.03,11271,66012207
2017-10-19,5569.33,5745.03,5512.9,5695.01,6813,38469075
2017-10-18,5592.26,5604.05,5082.24,5569.33,10300,55159334
2017-10-17,5748.56,5769.99,5513.45,5592.26,5442,30564045
2017-10-16,5694.61,5778.35,5575.0,5748.56,4852,27615319
2017-10-15,5799.99,5833.72,5450.0,5694.61,7194,40519793
2017-10-14,5636.28,5800.0,5555.89,5799.99,3622,20633868
2017-10-13,5437.68,5868.78,5390.93,5636.28,15361,86512838
2017-10-12,4813.85,5437.69,4811.06,5437.68,13090,67814428
2017-10-11,4756.22,4864.67,4720.0,4813.85,7341,35219675
2017-10-10,4751.08,4919.01,4712.11,4756.22,4033,19398039
2017-10-09,4602.5,4875.0,4550.0,4751.08,7416,34797102
2017-10-08,4425.01,4609.0,4412.42,4602.5,3207,14462969
2017-10-07,4362.42,4448.0,4320.01,4425.01,1828,8000413
2017-10-06,4318.57,4410.26,4300.0,4362.42,5189,22626193
2017-10-05,4214.25,4360.38,4145.0,4318.57,4053,17314733
2017-10-04,4300.0,4339.98,4175.0,4214.25,4624,19650002
2017-10-03,4385.7,4417.98,4104.51,4300.0,5092,21933517
2017-10-02,4388.74,4457.01,4361.0,4385.7,5714,25174900
2017-10-01,4327.63,4399.0,4250.0,4388.74,2672,11527231
2017-09-30,4182.89,4339.99,4182.89,4327.63,2981,12765562
2017-09-29,4188.0,4209.85,4020.0,4182.9,6190,25539861
2017-09-28,4204.51,4281.6,3336.67,4188.0,9122,37892835
2017-09-27,3885.14,4225.0,3876.01,4204.51,8659,35090663
2017-09-26,3916.48,3958.06,3852.61,3885.14,4585,17957210
2017-09-25,3667.99,3956.86,3665.98,3916.48,6413,24626181
2017-09-24,3783.6,3783.61,3619.76,3667.99,1995,7381293
2017-09-23,3620.96,3812.88,3562.8,3783.6,3322,12349932
2017-09-22,3616.74,3758.12,3510.84,3620.96,5845,21133557
2017-09-21,3866.0,3899.86,3573.0,3616.74,9864,36923731
2017-09-20,3903.4,4034.99,3828.93,3866.0,6216,24528663
2017-09-19,4098.03,4117.03,3850.0,3903.4,9550,37798595
2017-09-18,3716.46,4115.93,3716.45,4098.03,10652,42385452
2017-09-17,3715.38,3825.54,3505.94,3716.46,3911,14409256
2017-09-16,3709.85,3854.7,3580.01,3715.38,5582,20638634
2017-09-15,3242.63,3839.19,2955.01,3709.85,35731,120712069
2017-09-14,3855.01,3920.2,3219.89,3242.63,24715,86739154
2017-09-13,4155.55,4173.78,3743.75,3855.01,16477,64469196
2017-09-12,4209.69,4372.05,4070.01,4155.55,7698,32452537
2017-09-11,4243.48,4370.28,4110.48,4209.69,9638,40567670
2017-09-10,4325.17,4329.97,4083.55,4243.48,7200,30296416
2017-09-09,4346.24,4405.0,4182.16,4325.17,5908,25492488
2017-09-08,4623.19,4669.98,4000.0,4346.24,14814,64259227
2017-09-07,4609.17,4665.23,4484.68,4623.19,5900,27021543
2017-09-06,4393.0,4645.0,4380.78,4609.17,9981,45222315
2017-09-05,4278.86,4494.6,4012.02,4393.0,14333,61738092
2017-09-04,4607.47,4614.36,4100.0,4278.86,14221,61338241
2017-09-03,4642.85,4740.41,4460.05,4607.47,9618,44313445
2017-09-02,4924.0,4985.0,4505.0,4642.85,13482,63608581
2017-09-01,4736.28,4924.0,4709.28,4924.0,8173,39489710
2017-08-31,4583.85,4762.76,4579.91,4736.28,7396,34644172
2017-08-30,4589.99,4641.43,4495.05,4583.85,9151,41797324
2017-08-29,4379.96,4705.07,4345.13,4589.99,10485,47403678
2017-08-28,4340.88,4400.0,4202.48,4379.96,8832,38084155
2017-08-27,4371.25,4371.26,4321.86,4340.88,4077,17724588
2017-08-26,4371.25,4371.25,4371.25,4371.25,0,0
2017-08-25,4313.21,4480.01,4284.83,4371.25,9363,40887057
2017-08-24,4147.1,4350.0,4108.82,4313.21,8727,36738021
2017-08-23,4093.28,4250.02,4066.23,4147.1,9973,41442542
2017-08-22,3993.87,4140.05,3600.01,4093.28,17464,68475115
2017-08-21,4049.98,4073.73,3943.44,3993.87,16390,65626674
2017-08-20,4145.11,4168.88,4010.8,4049.98,9480,38733839
2017-08-19,4102.48,4184.8,3985.0,4145.11,9563,39073968
2017-08-18,4284.45,4355.0,3971.01,4102.48,13305,55591110
2017-08-17,4322.44,4474.0,4226.99,4284.45,11985,52171030
2017-08-16,4154.84,4364.05,3935.01,4322.44,9478,39103029
2017-08-15,4318.3,4436.01,3821.85,4154.84,22864,94144558
